Hotel Name,Location,Amenities,Distance from City Center (km),Type of Room,Hotel Star Rating,Customer Rating,Check-in Time,Check-out Time,Day of the Week,Is Public Holiday,Is Tourism Zone,Google Trends Score,Hotel Price (INR)
Hotel Sunrise 97,Delhi,"Parking, Pool",20.69,Presidential Suite,3,4.2,1:00 PM,2:00 PM,Wednesday,1,1,22,2986
Hotel Sunrise 4,Jaipur,"Bar, Spa",0.54,Deluxe,4,4.6,12:00 PM,12:00 PM,Saturday,1,0,31,4472
Hotel Metro 72,Ahmedabad,"Pool, Gym",9.96,Suite,2,2.9,12:00 PM,2:00 PM,Saturday,0,1,44,2190
Hotel Emerald 34,Hyderabad,"Gym, Pet Friendly, Restaurant",14.4,Executive,4,3.9,1:00 PM,1:00 PM,Tuesday,1,0,22,4376
Hotel Horizon 13,Pune,"Restaurant, Spa, Pet Friendly, Pool, Parking",5.59,Executive,5,4.4,1:00 PM,12:00 PM,Thursday,0,1,45,5351
Hotel Moonlight 46,Pune,"Bar, Airport Shuttle",9.3,Suite,3,4.4,12:00 PM,2:00 PM,Saturday,1,0,31,3331
Hotel Horizon 4,Hyderabad,"Spa, Bar, Business Center",6.72,Deluxe,2,2.9,2:00 PM,11:00 AM,Friday,0,0,22,2665
Hotel Vista 93,Hyderabad,"Bar, Airport Shuttle, Free WiFi, Parking",18.99,Presidential Suite,2,3.1,2:00 PM,1:00 PM,Friday,0,0,94,2692
Hotel Grand 96,Jaipur,"Parking, Airport Shuttle, Pool, Business Center, Free WiFi",20.68,Suite,5,3.5,12:00 PM,11:00 AM,Wednesday,0,1,68,5675
Hotel Serenity 87,Ahmedabad,"Business Center, Bar, Airport Shuttle, Parking, Gym",17.25,Deluxe,5,3.5,1:00 PM,1:00 PM,Sunday,1,0,99,5619
Hotel Grand 14,Ahmedabad,"Bar, Airport Shuttle, Pet Friendly, Gym, Parking",23.74,Suite,4,4.8,1:00 PM,1:00 PM,Thursday,1,1,75,4645
Hotel Metro 81,Ahmedabad,"Pet Friendly, Restaurant",5.06,Presidential Suite,2,4.4,11:00 AM,2:00 PM,Wednesday,0,0,71,2399
Hotel Lagoon 43,Kolkata,"Bar, Gym",5.36,Deluxe,3,3.0,11:00 AM,2:00 PM,Tuesday,1,0,83,3107
Hotel Regency 70,Kolkata,"Airport Shuttle, Gym",7.73,Standard,3,4.4,11:00 AM,12:00 PM,Tuesday,0,0,55,4003
Hotel Grand 55,Delhi,"Free WiFi, Bar",24.22,Presidential Suite,5,3.6,11:00 AM,2:00 PM,Friday,0,0,26,5375
Hotel Serenity 13,Hyderabad,"Airport Shuttle, Gym, Free WiFi",5.89,Suite,5,2.9,2:00 PM,12:00 PM,Monday,1,0,65,5679
Hotel Sunrise 36,Ahmedabad,"Gym, Pet Friendly, Free WiFi, Airport Shuttle, Business Center",15.76,Standard,5,3.3,12:00 PM,2:00 PM,Wednesday,0,1,47,5817
Hotel Regency 84,Ahmedabad,"Free WiFi, Spa",15.78,Presidential Suite,3,4.9,11:00 AM,12:00 PM,Sunday,0,0,57,3185
Hotel Heritage 81,Kolkata,"Pet Friendly, Free WiFi",2.58,Executive,3,3.4,11:00 AM,2:00 PM,Tuesday,1,0,88,3922
Hotel Lagoon 78,Bangalore,"Business Center, Spa",21.6,Standard,5,3.3,2:00 PM,1:00 PM,Wednesday,0,0,81,5351
Hotel Royal 94,Bangalore,"Business Center, Gym, Pet Friendly, Airport Shuttle",12.26,Executive,3,4.0,2:00 PM,1:00 PM,Monday,0,1,98,3325
Hotel Crimson 6,Delhi,"Business Center, Airport Shuttle",8.69,Standard,4,4.8,12:00 PM,1:00 PM,Thursday,1,0,93,4784
Hotel Palm 53,Delhi,"Pet Friendly, Airport Shuttle, Parking, Gym, Pool",23.54,Deluxe,2,2.9,1:00 PM,2:00 PM,Wednesday,0,0,25,2431
Hotel Moonlight 56,Delhi,"Pet Friendly, Parking, Pool",3.57,Suite,4,3.4,11:00 AM,11:00 AM,Thursday,0,0,43,4898
Hotel Lagoon 81,Kolkata,"Business Center, Airport Shuttle",22.43,Presidential Suite,4,3.0,1:00 PM,1:00 PM,Sunday,0,1,37,4548
Hotel Sunrise 67,Pune,"Free WiFi, Pool, Gym, Restaurant",20.35,Deluxe,2,4.9,2:00 PM,11:00 AM,Tuesday,0,1,22,2695
Hotel Crimson 10,Hyderabad,"Pool, Bar",15.32,Presidential Suite,2,4.7,11:00 AM,2:00 PM,Monday,0,0,42,2284
Hotel Vista 56,Jaipur,"Pool, Business Center, Restaurant, Gym, Free WiFi",19.26,Executive,4,5.0,2:00 PM,12:00 PM,Sunday,1,0,74,4337
Hotel Bliss 19,Jaipur,"Pool, Parking, Bar, Pet Friendly, Free WiFi",10.8,Suite,2,3.1,11:00 AM,11:00 AM,Friday,0,1,80,1979
Hotel Sapphire 45,Mumbai,"Spa, Business Center, Parking, Pet Friendly, Gym",17.86,Suite,3,4.2,2:00 PM,1:00 PM,Monday,1,1,25,3750
Hotel Regency 54,Pune,"Business Center, Pet Friendly, Free WiFi, Bar",16.9,Standard,3,4.6,12:00 PM,1:00 PM,Thursday,0,0,85,3927
Hotel Sapphire 83,Bangalore,"Bar, Parking, Airport Shuttle, Pool",19.22,Standard,5,3.4,1:00 PM,11:00 AM,Saturday,0,1,57,5287
Hotel Moonlight 21,Chennai,"Pet Friendly, Bar, Spa, Free WiFi",4.07,Standard,2,3.2,1:00 PM,12:00 PM,Sunday,0,0,76,2983
Hotel Regency 69,Chennai,"Parking, Business Center, Spa, Airport Shuttle, Gym",1.51,Standard,5,4.0,11:00 AM,2:00 PM,Friday,1,1,21,5464
Hotel Emerald 87,Pune,"Pet Friendly, Airport Shuttle",24.43,Deluxe,4,2.7,2:00 PM,1:00 PM,Wednesday,0,0,100,4357
Hotel Palm 65,Ahmedabad,"Pool, Pet Friendly, Free WiFi, Business Center",15.24,Suite,3,3.5,1:00 PM,1:00 PM,Thursday,0,1,83,3548
Hotel Magnolia 81,Chennai,"Pool, Restaurant, Airport Shuttle, Gym, Pet Friendly",8.9,Presidential Suite,3,3.6,2:00 PM,11:00 AM,Sunday,1,1,28,3058
Hotel Vista 82,Mumbai,"Pet Friendly, Business Center",23.14,Presidential Suite,5,3.7,11:00 AM,11:00 AM,Tuesday,0,0,42,5504
Hotel Royal 94,Kolkata,"Business Center, Parking, Spa, Gym, Free WiFi",17.51,Executive,5,4.5,2:00 PM,1:00 PM,Friday,0,0,100,5945
Hotel Moonlight 32,Delhi,"Business Center, Free WiFi, Restaurant",6.54,Standard,3,4.3,1:00 PM,1:00 PM,Thursday,1,0,37,3764
Hotel Serenity 95,Kolkata,"Spa, Pet Friendly",23.06,Deluxe,4,4.3,1:00 PM,2:00 PM,Tuesday,0,0,59,4884
Hotel Serenity 63,Chennai,"Gym, Free WiFi, Restaurant, Pool",11.91,Presidential Suite,4,2.8,2:00 PM,11:00 AM,Friday,0,0,62,4673
Hotel Plaza 95,Pune,"Business Center, Restaurant, Pool, Gym, Spa",24.98,Standard,5,3.0,2:00 PM,2:00 PM,Tuesday,0,0,45,4623
Hotel Vista 65,Delhi,"Gym, Restaurant, Spa, Airport Shuttle",13.06,Suite,5,2.9,12:00 PM,12:00 PM,Sunday,0,0,50,5272
Hotel Sapphire 11,Ahmedabad,"Pet Friendly, Free WiFi, Spa, Bar, Business Center",21.13,Deluxe,3,3.8,11:00 AM,12:00 PM,Monday,0,1,37,3509
Hotel Royal 95,Goa,"Free WiFi, Bar, Gym, Airport Shuttle",15.84,Standard,5,4.4,2:00 PM,2:00 PM,Saturday,0,0,94,5588
Hotel Moonlight 8,Mumbai,"Pet Friendly, Pool, Airport Shuttle, Free WiFi",8.55,Executive,5,3.0,2:00 PM,11:00 AM,Thursday,0,1,66,5697
Hotel Serenity 46,Ahmedabad,"Business Center, Bar, Pet Friendly",24.85,Executive,3,3.9,1:00 PM,2:00 PM,Sunday,1,0,87,3295
Hotel Palm 16,Goa,"Pet Friendly, Business Center, Airport Shuttle, Pool, Parking",20.81,Presidential Suite,2,3.0,12:00 PM,11:00 AM,Sunday,1,1,49,1915
Hotel Vista 74,Chennai,"Pool, Airport Shuttle",7.28,Deluxe,5,2.6,12:00 PM,2:00 PM,Tuesday,0,0,61,5471
Hotel Lagoon 83,Bangalore,"Business Center, Airport Shuttle, Pool",4.48,Suite,5,3.3,2:00 PM,2:00 PM,Tuesday,0,0,45,5134
Hotel Sunrise 1,Delhi,"Gym, Restaurant",10.34,Deluxe,3,2.6,12:00 PM,12:00 PM,Sunday,1,0,56,3310
Hotel Vista 31,Bangalore,"Pet Friendly, Restaurant, Airport Shuttle",20.28,Suite,3,3.6,2:00 PM,2:00 PM,Sunday,0,0,80,3796
Hotel Crimson 63,Mumbai,"Airport Shuttle, Business Center, Parking, Gym, Bar",4.03,Standard,2,5.0,11:00 AM,12:00 PM,Monday,1,0,83,3312
Hotel Crimson 45,Mumbai,"Airport Shuttle, Pool, Free WiFi",24.32,Standard,3,4.5,1:00 PM,11:00 AM,Wednesday,0,0,97,3859
Hotel Sapphire 44,Pune,"Restaurant, Pet Friendly, Parking, Business Center",12.97,Executive,2,2.8,2:00 PM,1:00 PM,Tuesday,0,1,69,2125
Hotel Moonlight 8,Pune,"Pool, Restaurant",20.18,Standard,2,3.3,11:00 AM,1:00 PM,Sunday,0,0,43,1989
Hotel Oasis 64,Mumbai,"Gym, Airport Shuttle",14.12,Executive,4,4.5,1:00 PM,12:00 PM,Wednesday,1,0,58,4220
Hotel Moonlight 90,Jaipur,"Airport Shuttle, Pet Friendly, Free WiFi",7.16,Standard,5,2.9,12:00 PM,11:00 AM,Tuesday,1,1,99,5002
Hotel Euphoria 87,Mumbai,"Gym, Spa, Pet Friendly, Airport Shuttle",24.34,Suite,4,2.8,12:00 PM,1:00 PM,Wednesday,0,0,34,4297
Hotel Royal 94,Bangalore,"Spa, Business Center, Restaurant",15.86,Deluxe,2,4.3,1:00 PM,1:00 PM,Saturday,0,1,31,2945
Hotel Magnolia 28,Pune,"Bar, Parking",18.45,Suite,5,2.7,12:00 PM,12:00 PM,Thursday,1,1,82,5640
Hotel Bliss 39,Chennai,"Pool, Free WiFi, Bar, Airport Shuttle, Business Center",8.58,Executive,3,3.9,1:00 PM,1:00 PM,Sunday,0,0,45,4079
Hotel Metro 5,Pune,"Gym, Pet Friendly, Free WiFi, Parking",20.58,Deluxe,3,4.4,1:00 PM,11:00 AM,Wednesday,0,0,49,3801
Hotel Sunrise 9,Mumbai,"Pool, Parking, Spa, Gym, Business Center",13.25,Executive,5,3.1,11:00 AM,11:00 AM,Wednesday,1,0,85,4968
Hotel Serenity 56,Jaipur,"Pool, Free WiFi, Spa, Restaurant",13.33,Presidential Suite,3,2.6,12:00 PM,1:00 PM,Friday,0,0,84,3365
Hotel Palm 27,Kolkata,"Parking, Free WiFi",16.87,Standard,2,2.8,12:00 PM,11:00 AM,Tuesday,0,1,87,1863
Hotel Palm 14,Ahmedabad,"Free WiFi, Business Center",6.45,Presidential Suite,5,4.9,11:00 AM,2:00 PM,Sunday,1,1,48,6330
Hotel Serenity 40,Bangalore,"Parking, Pool",5.38,Suite,3,4.2,12:00 PM,11:00 AM,Friday,1,1,80,4069
Hotel Serenity 14,Ahmedabad,"Bar, Parking",21.47,Presidential Suite,4,5.0,12:00 PM,12:00 PM,Thursday,0,0,99,4890
Hotel Sunrise 9,Ahmedabad,"Parking, Pet Friendly, Business Center",14.37,Executive,5,4.5,1:00 PM,1:00 PM,Wednesday,1,0,47,5811
Hotel Regency 64,Goa,"Airport Shuttle, Bar, Gym",7.47,Standard,5,4.7,1:00 PM,2:00 PM,Tuesday,0,0,47,5980
Hotel Crimson 2,Mumbai,"Parking, Business Center, Pet Friendly",8.83,Deluxe,4,3.9,1:00 PM,12:00 PM,Friday,1,1,82,4509
Hotel Sapphire 84,Goa,"Gym, Parking",4.04,Suite,2,3.8,12:00 PM,11:00 AM,Thursday,0,1,24,2796
Hotel Crimson 12,Chennai,"Restaurant, Airport Shuttle, Business Center, Parking, Pet Friendly",23.6,Executive,2,4.3,11:00 AM,12:00 PM,Monday,1,0,65,2793
Hotel Royal 53,Bangalore,"Pet Friendly, Pool",3.65,Executive,4,2.7,1:00 PM,2:00 PM,Friday,1,1,21,4813
Hotel Regency 55,Hyderabad,"Gym, Restaurant, Spa",16.16,Deluxe,2,4.3,2:00 PM,12:00 PM,Friday,0,0,75,2506
Hotel Oasis 35,Hyderabad,"Bar, Pet Friendly, Gym, Airport Shuttle, Pool",20.9,Executive,2,3.3,1:00 PM,12:00 PM,Thursday,1,0,81,2645
Hotel Magnolia 88,Kolkata,"Airport Shuttle, Pool, Free WiFi, Pet Friendly",18.18,Presidential Suite,4,4.3,2:00 PM,11:00 AM,Monday,0,1,20,4404
Hotel Sunrise 29,Mumbai,"Pool, Business Center, Parking, Restaurant",21.19,Presidential Suite,4,3.3,2:00 PM,2:00 PM,Friday,0,1,26,3852
Hotel Sunrise 46,Delhi,"Pet Friendly, Free WiFi, Parking",8.22,Standard,5,4.9,2:00 PM,12:00 PM,Friday,0,0,31,5647
Hotel Emerald 40,Jaipur,"Bar, Free WiFi",14.68,Suite,4,3.7,11:00 AM,12:00 PM,Wednesday,1,0,83,4113
Hotel Sunrise 12,Jaipur,"Pet Friendly, Pool",15.16,Executive,2,2.7,2:00 PM,1:00 PM,Sunday,0,1,72,1867
Hotel Palm 10,Kolkata,"Bar, Business Center",12.7,Suite,2,4.8,11:00 AM,11:00 AM,Thursday,1,0,34,2849
Hotel Horizon 52,Pune,"Parking, Free WiFi, Pet Friendly, Spa",15.81,Standard,3,2.7,11:00 AM,1:00 PM,Thursday,0,0,74,2772
Hotel Horizon 16,Hyderabad,"Restaurant, Pet Friendly, Pool",14.61,Presidential Suite,2,2.7,11:00 AM,1:00 PM,Wednesday,1,0,44,2096
Hotel Euphoria 76,Hyderabad,"Pet Friendly, Pool, Restaurant",4.39,Deluxe,3,3.0,1:00 PM,2:00 PM,Sunday,0,1,99,3972
Hotel Euphoria 96,Kolkata,"Pet Friendly, Airport Shuttle, Pool, Free WiFi",6.15,Executive,3,3.3,2:00 PM,11:00 AM,Monday,0,1,38,3106
Hotel Royal 12,Goa,"Pool, Parking, Restaurant, Business Center",8.39,Suite,4,2.7,2:00 PM,11:00 AM,Sunday,0,1,41,4813
Hotel Plaza 7,Pune,"Free WiFi, Spa, Bar, Pet Friendly, Pool",14.09,Executive,4,3.7,12:00 PM,12:00 PM,Wednesday,1,0,72,4569
Hotel Horizon 80,Hyderabad,"Spa, Free WiFi, Restaurant, Bar",1.16,Suite,4,2.6,1:00 PM,12:00 PM,Friday,0,0,36,4672
Hotel Bliss 72,Hyderabad,"Bar, Parking, Restaurant, Airport Shuttle",8.18,Deluxe,3,3.0,1:00 PM,2:00 PM,Saturday,0,0,28,3035
Hotel Sapphire 47,Jaipur,"Spa, Airport Shuttle, Pet Friendly, Free WiFi",19.99,Presidential Suite,4,4.5,1:00 PM,12:00 PM,Friday,0,0,73,4080
Hotel Euphoria 98,Jaipur,"Restaurant, Gym, Business Center, Spa",19.58,Executive,3,2.5,2:00 PM,1:00 PM,Monday,1,0,54,3115
Hotel Palm 44,Ahmedabad,"Spa, Airport Shuttle, Pet Friendly",21.92,Suite,4,4.5,1:00 PM,11:00 AM,Monday,1,0,24,4043
Hotel Royal 22,Kolkata,"Restaurant, Pool, Pet Friendly, Spa",20.71,Standard,3,3.8,2:00 PM,12:00 PM,Wednesday,0,1,79,3349
Hotel Metro 66,Ahmedabad,"Airport Shuttle, Pool, Parking, Spa, Free WiFi",12.39,Suite,3,2.7,1:00 PM,12:00 PM,Monday,0,1,79,3660
Hotel Palm 87,Kolkata,"Restaurant, Parking",8.62,Standard,3,4.3,1:00 PM,2:00 PM,Monday,0,0,88,3889
Hotel Magnolia 84,Hyderabad,"Free WiFi, Business Center",4.55,Deluxe,4,3.3,1:00 PM,2:00 PM,Friday,0,1,85,4425
Hotel Vista 31,Mumbai,"Pool, Gym, Airport Shuttle, Business Center, Spa",5.42,Suite,5,4.1,1:00 PM,12:00 PM,Sunday,0,1,79,5614
Hotel Sapphire 89,Chennai,"Pool, Restaurant, Spa, Gym, Airport Shuttle",17.31,Standard,4,3.2,11:00 AM,12:00 PM,Friday,0,0,98,3843
Hotel Euphoria 1,Mumbai,"Pet Friendly, Restaurant, Parking, Spa",23.69,Standard,5,4.0,2:00 PM,2:00 PM,Monday,0,0,67,5574
Hotel Plaza 57,Goa,"Restaurant, Business Center, Bar, Free WiFi, Gym",15.19,Deluxe,4,4.7,11:00 AM,11:00 AM,Wednesday,0,1,36,4573
Hotel Regency 68,Delhi,"Free WiFi, Parking, Spa",9.26,Executive,3,2.7,1:00 PM,12:00 PM,Thursday,1,1,92,3723
Hotel Vista 3,Pune,"Airport Shuttle, Bar, Pool, Parking",11.12,Standard,2,4.5,1:00 PM,1:00 PM,Saturday,1,0,89,2346
Hotel Sunrise 52,Goa,"Airport Shuttle, Pet Friendly",14.58,Executive,4,4.0,11:00 AM,12:00 PM,Tuesday,0,0,23,4219
Hotel Regency 4,Goa,"Restaurant, Free WiFi, Spa, Bar",14.91,Executive,3,4.0,11:00 AM,12:00 PM,Saturday,1,0,71,3900
Hotel Serenity 1,Chennai,"Pet Friendly, Restaurant, Spa",18.79,Suite,2,3.2,11:00 AM,2:00 PM,Wednesday,0,1,70,2367
Hotel Royal 31,Bangalore,"Parking, Airport Shuttle, Gym",0.79,Suite,4,4.2,1:00 PM,2:00 PM,Friday,0,1,77,4903
Hotel Lagoon 99,Pune,"Bar, Free WiFi, Gym, Parking, Pool",8.46,Suite,3,3.6,1:00 PM,2:00 PM,Monday,0,0,95,3449
Hotel Heritage 51,Ahmedabad,"Gym, Airport Shuttle",1.6,Suite,3,2.7,12:00 PM,12:00 PM,Saturday,0,0,80,3714
Hotel Sapphire 83,Chennai,"Free WiFi, Gym",15.11,Presidential Suite,2,2.5,2:00 PM,11:00 AM,Monday,0,0,92,1722
Hotel Grand 64,Delhi,"Business Center, Restaurant, Bar, Free WiFi",18.23,Executive,4,2.6,2:00 PM,11:00 AM,Friday,0,0,20,4352
Hotel Vista 27,Goa,"Parking, Pet Friendly",9.1,Standard,2,3.4,2:00 PM,1:00 PM,Saturday,1,1,76,2829
Hotel Palm 9,Ahmedabad,"Bar, Gym",14.76,Suite,2,4.5,11:00 AM,2:00 PM,Sunday,1,0,43,2609
Hotel Lagoon 5,Pune,"Gym, Airport Shuttle, Spa, Pool, Pet Friendly",7.98,Deluxe,2,4.2,12:00 PM,1:00 PM,Sunday,0,1,50,2695
Hotel Heritage 27,Hyderabad,"Airport Shuttle, Gym, Business Center, Pet Friendly",5.59,Standard,4,4.7,2:00 PM,2:00 PM,Tuesday,1,1,22,5079
Hotel Palm 36,Mumbai,"Pet Friendly, Spa, Parking, Business Center",20.56,Presidential Suite,5,4.0,11:00 AM,2:00 PM,Monday,0,1,61,5752
Hotel Magnolia 77,Goa,"Parking, Free WiFi",5.18,Executive,4,3.3,12:00 PM,11:00 AM,Thursday,1,1,61,4745
Hotel Emerald 83,Mumbai,"Restaurant, Business Center, Bar",5.12,Standard,5,2.6,11:00 AM,11:00 AM,Sunday,1,0,55,5421
Hotel Sapphire 86,Pune,"Pet Friendly, Airport Shuttle, Bar, Parking, Pool",22.52,Standard,2,3.6,2:00 PM,11:00 AM,Friday,1,0,57,2119
Hotel Regency 7,Mumbai,"Gym, Parking, Pet Friendly, Bar, Pool",2.92,Deluxe,2,3.1,12:00 PM,2:00 PM,Tuesday,0,0,75,2557
Hotel Palm 66,Pune,"Parking, Business Center, Gym, Restaurant, Pool",1.98,Presidential Suite,4,2.5,11:00 AM,11:00 AM,Saturday,1,0,46,4738
Hotel Moonlight 27,Mumbai,"Business Center, Parking",2.47,Deluxe,2,4.4,2:00 PM,2:00 PM,Wednesday,1,0,51,3045
Hotel Lagoon 65,Pune,"Gym, Bar",23.5,Standard,4,3.5,11:00 AM,12:00 PM,Saturday,0,1,57,4116
Hotel Emerald 37,Hyderabad,"Gym, Pet Friendly",14.66,Suite,4,2.8,2:00 PM,2:00 PM,Thursday,1,0,48,4258
Hotel Sapphire 97,Kolkata,"Pet Friendly, Restaurant, Free WiFi",14.53,Standard,2,4.7,12:00 PM,1:00 PM,Thursday,1,0,98,2442
Hotel Royal 6,Kolkata,"Gym, Bar, Restaurant, Free WiFi, Pet Friendly",7.61,Standard,5,2.8,2:00 PM,11:00 AM,Tuesday,1,0,73,5379
Hotel Bliss 20,Hyderabad,"Parking, Free WiFi, Restaurant",4.96,Suite,5,3.8,2:00 PM,1:00 PM,Saturday,1,0,33,5803
Hotel Grand 14,Hyderabad,"Gym, Free WiFi, Pool, Business Center",20.05,Presidential Suite,3,3.5,2:00 PM,1:00 PM,Friday,0,0,63,3196
Hotel Royal 57,Pune,"Free WiFi, Spa, Gym, Pet Friendly, Business Center",19.83,Presidential Suite,4,3.2,2:00 PM,2:00 PM,Saturday,0,0,26,3967
Hotel Lagoon 77,Jaipur,"Pool, Pet Friendly",3.99,Presidential Suite,3,3.3,1:00 PM,1:00 PM,Wednesday,0,0,48,3829
Hotel Regency 42,Jaipur,"Free WiFi, Bar, Restaurant, Pet Friendly",24.95,Suite,2,3.1,1:00 PM,11:00 AM,Thursday,1,1,74,2570
Hotel Emerald 43,Bangalore,"Pet Friendly, Bar, Parking, Business Center, Gym",11.96,Presidential Suite,3,4.2,11:00 AM,11:00 AM,Tuesday,0,1,83,4064
Hotel Grand 85,Jaipur,"Bar, Pet Friendly, Parking, Free WiFi",3.66,Executive,5,3.6,2:00 PM,2:00 PM,Monday,1,1,50,5665
Hotel Plaza 53,Goa,"Gym, Restaurant, Pet Friendly, Free WiFi, Spa",21.55,Deluxe,5,3.4,1:00 PM,12:00 PM,Friday,0,1,38,5469
